receiver,tackler
G.Tate (DET),M.Jenkins (PHI)
G.Olsen (CAR),B.Church (DAL)
J.Witten (DAL),T.Davis (CAR)
J.Witten (DAL),L.Kuechly (CAR)
B.Cooks (NO),J.Joseph (HOU)
W.Snead (NO),J.Joseph (HOU)
J.Maclin (KC),R.Darby (BUF)
T.Kelce (KC),C.Graham (BUF)
J.Maclin (KC),C.Graham (BUF)
D.Walker (TEN),T.Carrie (OAK)
D.Walker (TEN),M.Smith (OAK)
D.Woodhead (SD),T.Smith (JAC)
D.Woodhead (SD),D.House (JAC)
D.Woodhead (SD),P.Posluszny (JAC)
B.Marshall (NYJ),L.Collins (NYG)
D.Freeman (ATL),L.David (TB)
K.Aiken (BAL),R.Jones (MIA)
J.Maclin (KC),T.Carrie (OAK)
J.Maclin (KC),M.Smith (OAK)
A.Cooper (OAK),M.Peters (KC)
M.Crabtree (OAK),M.Peters (KC)
D.Woodhead (SD),C.Harris (DEN)
D.Amendola (NE),M.Jenkins (PHI)
B.Cooks (NO),L.Kuechly (CAR)
B.Watson (NO),L.Kuechly (CAR)
Z.Ertz (PHI),C.Graham (BUF)
Z.Ertz (PHI),R.Darby (BUF)
J.Matthews (PHI),R.Darby (BUF)
T.Benjamin (CLE),E.Reid (SF)
T.Riddick (DET),M.Barron (STL)
G.Tate (DET),M.Barron (STL)
T.Riddick (DET),T.Johnson (STL)
J.Jones (ATL),T.Davis (CAR)
D.Freeman (ATL),T.Davis (CAR)
J.Tamme (ATL),T.Davis (CAR)
J.Jones (ATL),L.Kuechly (CAR)
W.Snead (NO),L.David (TB)
D.Thomas (DEN),T.Carrie (OAK)
R.Cobb (GB),B.Church (DAL)
J.Landry (MIA),L.Collins (NYG)
O.Beckham (NYG),R.Jones (MIA)
G.Olsen (CAR),L.Collins (NYG)
O.Beckham (NYG),L.Kuechly (CAR)
K.Aiken (BAL),M.Peters (KC)
J.Jones (ATL),P.Posluszny (JAC)
D.Freeman (ATL),P.Posluszny (JAC)
D.Freeman (ATL),T.Smith (JAC)
D.Freeman (ATL),D.House (JAC)
J.Jones (ATL),D.House (JAC)
J.Jones (ATL),T.Smith (JAC)
R.Cobb (GB),M.Smith (OAK)
M.Crabtree (OAK),H.Clinton-Dix (GB)
R.Cobb (GB),D.Hayden (OAK)
M.Jones (CIN),E.Reid (SF)
A.Brown (PIT),C.Harris (DEN)
J.Matthews (PHI),D.Bucannon (ARI)
L.Fitzgerald (ARI),B.Maxwell (PHI)
L.Fitzgerald (ARI),M.Jenkins (PHI)
Z.Ertz (PHI),D.Bucannon (ARI)
G.Tate (DET),B.Browner (NO)
T.Riddick (DET),B.Browner (NO)
D.Woodhead (SD),M.Smith (OAK)
Z.Ertz (PHI),D.Goldson (WAS)
J.Matthews (PHI),D.Goldson (WAS)
G.Tate (DET),E.Reid (SF)
J.Tamme (ATL),L.Kuechly (CAR)
D.Freeman (ATL),L.Kuechly (CAR)
T.Benjamin (CLE),M.Peters (KC)
W.Snead (NO),P.Posluszny (JAC)
W.Snead (NO),A.Colvin (JAC)
R.Cobb (GB),D.Bucannon (ARI)
D.Thomas (DEN),D.Kirkpatrick (CIN)
D.Freeman (ATL),B.Browner (NO)
J.Jones (ATL),B.Browner (NO)
K.Aiken (BAL),D.Kirkpatrick (CIN)
T.Kelce (KC),M.Smith (OAK)
